id	side	department	sub_department	outcome	strategy	detail	owner	due_date	progress	editor	updated_at
M-101	定量	モール	Amazon	Session 480,000件/年	商品認知拡大PJ (課題: 露出場所が少ない)	モール内広告					2026-07-26
M-102	定量	モール	Amazon	Session 480,000件/年	商品認知拡大PJ (課題: 露出場所が少ない)	モール外広告					2026-07-26
M-103	定量	モール	Amazon	Session 480,000件/年	商品認知拡大PJ (課題: 露出場所が少ない)	SNS					2026-07-26
M-104	定量	モール	Amazon	Session 480,000件/年	商品認知拡大PJ (課題: 露出場所が少ない)	Amazon内の検索結果画面の見栄え改善					2026-07-26
M-105	定量	モール	Amazon	CVR 5.5%	レビュー獲得PJ (課題: サムネ・訴求の一貫性)	新商品: amazon vine でレビューつける					2026-07-26
M-106	定量	モール	Amazon	CVR 5.5%	レビュー獲得PJ (課題: サムネ・訴求の一貫性)	既存商品: 月の売上件数に適した数のレビューつける					2026-07-26
M-107	定量	モール	Amazon	CVR 5.5%	商品ページ改善PJ (課題: サムネ・訴求の一貫性)	商品ページの訴求・見え感の改善					2026-07-26
M-108	定量	モール	Amazon	AOV 4,400円	SIMIUS(他ブランド)拡大PJ (課題: トリピュア売上比率が高い)	既存商品(ジェル以外)の認知拡大PJ 施策の実装					2026-07-26
M-201	定量	モール	楽天	Session 120,000件/年	商品認知拡大PJ (課題: そもそもブランド知られていない)	モール内広告					2026-07-26
M-202	定量	モール	楽天	Session 120,000件/年	商品認知拡大PJ (課題: そもそもブランド知られていない)	モール外広告					2026-07-26
M-203	定量	モール	楽天	Session 120,000件/年	商品認知拡大PJ (課題: そもそもブランド知られていない)	SNS					2026-07-26
M-204	定量	モール	楽天	Session 120,000件/年	商品認知拡大PJ (課題: そもそもブランド知られていない)	楽天内の検索結果画面の見栄え改善					2026-07-26
M-205	定量	モール	楽天	CVR 4.7%	レビュー獲得PJ (課題: クリックしたくなるサムネイル)	レビュークーポン					2026-07-26
M-206	定量	モール	楽天	CVR 4.7%	商品ページ改善PJ (課題: 訴求の一貫性)	商品ページの訴求・見え感の改善					2026-07-26
M-207	定量	モール	楽天	AOV 5,850円	セット商品販売PJ (課題: 単価アップ余地)	クロスセル商品でセット商品を作成					2026-07-26
M-208	定量	モール	楽天	AOV 5,850円	セット商品販売PJ (課題: 単価アップ余地)	季節イベントに合わせた限定セット販売					2026-07-26
M-209	定量	モール	楽天	既存顧客率 60%	楽天顧客の体験向上PJ (課題: 同梱物なし / LINE・メルマガ弱い)	同梱物で使い方・商品ラインナップの提案					2026-07-26
M-210	定量	モール	楽天	既存顧客率 60%	楽天顧客の体験向上PJ (課題: 同梱物なし / LINE・メルマガ弱い)	LINE					2026-07-26
M-211	定量	モール	楽天	既存顧客率 60%	楽天顧客の体験向上PJ (課題: 同梱物なし / LINE・メルマガ弱い)	メルマガ					2026-07-26
M-301	定量	モール	Qoo10	Qoo10 利益○万=売上○万	(未着手)	開設・立ち上げ					2026-07-26
M-302	定量	モール	@cosme	@cosme 利益○万=売上○万	(未着手)	開設・立ち上げ					2026-07-26
M-303	定量	モール	TikTok shop	TikTok shop 利益○万=売上○万	(未着手)	開設・立ち上げ					2026-07-26
H-101	定量	本店	定期顧客件数	定期顧客件数 60,000件	楽天顧客の体験向上PJ (楽天側で管理)	(モール楽天タブ参照)					2026-07-26
H-201	定量	本店	LTV	LTV ¥26,180 / 定期単価 ¥4,400	既存商品(ジェル以外)の認知拡大PJ (課題: ジェル4,100円のみ認知)	新商品認知拡大PJ					2026-07-26
H-202	定量	本店	LTV	LTV ¥26,180 / 定期単価 ¥4,400	既存商品(ジェル以外)の認知拡大PJ (課題: ジェル4,100円のみ認知)	直近の新商品訴求 (まつ毛美容液・UVパウダー・オイルクレンジング・ファンデーション・スタイルオム)					2026-07-26
H-203	定量	本店	LTV	LTV ¥26,180 / 購入頻度 年6回	使い方浸透PJ (課題: 使用量が伝わっていない)	顧客にあった使い方・使用量を伝える (メール・LINE・電話)					2026-07-26
H-204	定量	本店	LTV	LTV ¥26,180 / 購入頻度 年6回	使い方浸透PJ (課題: 使用量が伝わっていない)	SIMIUSの日 (毎月決まった日にSIMIUSを思い出してお買い物)					2026-07-26
H-205	定量	本店	LTV	LTV ¥26,180 / 継続率 99.5%	初回購入体験向上PJ (課題: 2回目継続率70% / 3回目50%)	全体: サイト・マイページ改善					2026-07-26
H-206	定量	本店	LTV	LTV ¥26,180 / 継続率 99.5%	初回購入体験向上PJ (課題: 2回目継続率70% / 3回目50%)	全体: メルマガ作成・改善					2026-07-26
H-207	定量	本店	LTV	LTV ¥26,180 / 継続率 99.5%	初回購入体験向上PJ (課題: 2回目継続率70% / 3回目50%)	全体: 同梱物作成・改善					2026-07-26
H-208	定量	本店	LTV	LTV ¥26,180 / 継続率 99.5%	①タッチポイント死守PJ	自動配信(MA)でタッチポイントを切らさない (シナリオ)					2026-07-26
H-209	定量	本店	LTV	LTV ¥26,180 / 継続率 99.5%	①タッチポイント死守PJ	タッチポイントを維持する施策 (メルマガくじ)					2026-07-26
H-210	定量	本店	LTV	LTV ¥26,180 / 継続率 99.5%	①タッチポイント死守PJ	活用できていないタッチポイントの活用 (チェックアウト・トランザクションメール・マイページ)					2026-07-26
H-211	定量	本店	LTV	LTV ¥26,180 / 継続率 99.5%	②非販促コミュニケーションPJ	ビューティナビや季節のコミュニケーションで定期的に思い出してもらう					2026-07-26
H-212	定量	本店	LTV	LTV ¥26,180 / 継続率 99.5%	③いつもありがとうねPJ	お届け回数・マイページ訪問回数に応じた特典で続けたくなる仕組み (スタンプカード・自動特典)					2026-07-26
H-213	定量	本店	LTV	LTV ¥26,180 / 継続率 99.5%	③いつもありがとうねPJ	お誕生日をお祝いして気持ちよく続けてもらう					2026-07-26
H-214	定量	本店	LTV	LTV ¥26,180 / 継続率 99.5%	④休眠復活PJ	停止後も自動配信で継続的にコミュニケーション (シナリオ)					2026-07-26
H-215	定量	本店	LTV	LTV ¥26,180 / 継続率 99.5%	④休眠復活PJ	新商品やキャンペーン情報を休眠顧客にも (メール・DM)					2026-07-26
